0.19,-3.13E-06,8.32E-02,8.32E-02,90.002
0.22,-9.40E-06,8.14E-02,8.14E-02,90.007
0.25,-2.39E-05,7.93E-02,7.93E-02,90.017
0.28,-5.31E-05,7.68E-02,7.68E-02,90.04
0.31,-1.05E-04,7.39E-02,7.39E-02,90.081
0.34,-1.85E-04,7.05E-02,7.05E-02,90.15
0.37,-2.94E-04,6.68E-02,6.68E-02,90.252
0.4,-4.16E-04,6.27E-02,6.27E-02,90.381
0.43,-5.10E-04,5.82E-02,5.82E-02,90.502
0.46,-4.91E-04,5.35E-02,5.35E-02,90.526
0.49,-2.15E-04,4.85E-02,4.85E-02,90.254
0.52,5.38E-04,4.33E-02,4.33E-02,89.288
0.55,2.08E-03,3.77E-02,3.78E-02,86.843
0.58,4.76E-03,3.12E-02,3.15E-02,81.317
0.61,8.57E-03,2.23E-02,2.39E-02,68.974
0.64,1.13E-02,8.69E-03,1.43E-02,37.442
0.67,5.95E-03,-8.38E-03,1.03E-02,-54.602
0.7,-8.47E-03,-1.64E-02,1.84E-02,-117.324
0.73,-1.79E-02,-1.33E-02,2.23E-02,-143.294
0.76,-1.95E-02,-9.11E-03,2.16E-02,-155.011
0.79,-1.78E-02,-7.09E-03,1.91E-02,-158.231
0.82,-1.52E-02,-6.91E-03,1.67E-02,-155.538
0.85,-1.30E-02,-7.61E-03,1.51E-02,-149.748
0.88,-1.18E-02,-8.23E-03,1.44E-02,-145.012
0.91,-1.13E-02,-7.96E-03,1.38E-02,-144.843
0.94,-1.13E-02,-6.18E-03,1.29E-02,-151.319
0.97,-1.10E-02,-2.43E-03,1.13E-02,-167.606
1,-9.31E-03,3.70E-03,1.00E-02,158.344
1.03,-3.04E-03,1.21E-02,1.25E-02,104.053
1.06,1.44E-02,1.55E-02,2.12E-02,47.219
1.09,2.43E-02,-4.55E-03,2.47E-02,-10.627
1.12,1.09E-02,-1.35E-02,1.73E-02,-51.268
1.15,1.81E-03,-9.72E-03,9.89E-03,-79.428
1.18,-2.38E-03,-3.12E-03,3.92E-03,-127.351
1.21,-7.52E-04,4.54E-03,4.60E-03,99.407
1.24,3.62E-03,5.07E-03,6.23E-03,54.451
1.27,3.67E-03,4.41E-03,5.74E-03,50.267
