1.36,-5.78E-03,-7.88E-03,9.77E-03,-126.24
1.39,-2.08E-03,-9.65E-03,9.87E-03,-102.19
1.42,3.91E-03,-1.22E-02,1.28E-02,-72.223
1.45,9.83E-03,-1.84E-02,2.08E-02,-61.842
1.48,4.30E-03,-2.01E-02,2.06E-02,-77.945
0.01,1.38E-09,-1.98E+00,1.98E+00,-90
0.04,5.70E-11,-5.34E-01,5.34E-01,-90
0.07,3.87E-09,-3.69E-01,3.69E-01,-90
0.1,6.84E-08,-3.41E-01,3.41E-01,-90
0.13,5.49E-07,-3.35E-01,3.35E-01,-90
0.16,3.43E-06,-3.33E-01,3.33E-01,-89.999
0.19,1.23E-05,-3.27E-01,3.27E-01,-89.998
0.22,3.69E-05,-3.20E-01,3.20E-01,-89.993
0.25,9.40E-05,-3.11E-01,3.11E-01,-89.983
0.28,2.09E-04,-3.01E-01,3.01E-01,-89.96
0.31,4.12E-04,-2.90E-01,2.90E-01,-89.919
0.34,7.31E-04,-2.77E-01,2.77E-01,-89.849
0.37,1.17E-03,-2.62E-01,2.62E-01,-89.745
0.4,1.67E-03,-2.46E-01,2.46E-01,-89.611
0.43,2.09E-03,-2.29E-01,2.29E-01,-89.476
0.46,2.12E-03,-2.10E-01,2.10E-01,-89.421
0.49,1.25E-03,-1.91E-01,1.91E-01,-89.625
0.52,-1.32E-03,-1.71E-01,1.71E-01,-90.443
0.55,-6.70E-03,-1.49E-01,1.49E-01,-92.571
0.58,-1.62E-02,-1.25E-01,1.26E-01,-97.381
0.61,-2.97E-02,-9.21E-02,9.68E-02,-107.862
0.64,-3.97E-02,-4.31E-02,5.87E-02,-132.658
0.67,-2.10E-02,1.80E-02,2.76E-02,139.321
0.7,3.02E-02,4.68E-02,5.57E-02,57.132
0.73,6.39E-02,3.53E-02,7.30E-02,28.922
0.76,6.98E-02,1.86E-02,7.22E-02,14.951
0.79,6.26E-02,8.96E-03,6.33E-02,8.147
0.82,5.17E-02,5.49E-03,5.20E-02,6.059
0.85,4.12E-02,5.43E-03,4.15E-02,7.516
0.88,3.29E-02,6.16E-03,3.35E-02,10.598
0.91,2.73E-02,5.43E-03,2.78E-02,11.254
0.94,2.37E-02,1.53E-03,2.37E-02,3.7
0.97,2.06E-02,-6.81E-03,2.17E-02,-18.282
1,1.53E-02,-2.08E-02,2.58E-02,-53.566
1.03,6.07E-04,-4.08E-02,4.08E-02,-89.147
1.06,-4.06E-02,-5.13E-02,6.54E-02,-128.373
1.09,-6.98E-02,-4.74E-03,6.99E-02,-176.115
1.12,-4.15E-02,2.28E-02,4.74E-02,151.164
1.15,-1.96E-02,2.06E-02,2.85E-02,133.601
